routeID,tripID,date,fromStop,toStop,departure,arrival,scheduledTravelTime
CR-Fairmount,CR-Weekday-Spring-19-751,2019-07-22,South Station,Readville,06:24:00,06:54:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-753,2019-07-22,South Station,Readville,07:10:00,07:40:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-755,2019-07-22,South Station,Readville,08:00:00,08:30:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-757,2019-07-22,South Station,Readville,08:40:00,09:10:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-759,2019-07-22,South Station,Readville,09:45:00,10:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-761,2019-07-22,South Station,Readville,10:45:00,11:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-763,2019-07-22,South Station,Readville,11:45:00,12:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-765,2019-07-22,South Station,Readville,12:45:00,13:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-767,2019-07-22,South Station,Readville,13:45:00,14:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-769,2019-07-22,South Station,Readville,14:45:00,15:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-771,2019-07-22,South Station,Readville,15:30:00,16:00:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-773,2019-07-22,South Station,Readville,16:15:00,16:45:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-775,2019-07-22,South Station,Readville,17:00:00,17:30:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-777,2019-07-22,South Station,Readville,17:45:00,18:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-779,2019-07-22,South Station,Readville,18:30:00,19:00:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-781,2019-07-22,South Station,Readville,19:15:00,19:45:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-783,2019-07-22,South Station,Readville,20:15:00,20:45:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-785,2019-07-22,South Station,Readville,21:00:00,21:30:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-787,2019-07-22,South Station,Readville,22:00:00,22:30:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-751,2019-07-23,South Station,Readville,06:24:00,06:54:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-753,2019-07-23,South Station,Readville,07:10:00,07:40:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-755,2019-07-23,South Station,Readville,08:00:00,08:30:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-757,2019-07-23,South Station,Readville,08:40:00,09:10:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-759,2019-07-23,South Station,Readville,09:45:00,10:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-761,2019-07-23,South Station,Readville,10:45:00,11:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-763,2019-07-23,South Station,Readville,11:45:00,12:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-765,2019-07-23,South Station,Readville,12:45:00,13:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-767,2019-07-23,South Station,Readville,13:45:00,14:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-769,2019-07-23,South Station,Readville,14:45:00,15:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-771,2019-07-23,South Station,Readville,15:30:00,16:00:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-773,2019-07-23,South Station,Readville,16:15:00,16:45:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-775,2019-07-23,South Station,Readville,17:00:00,17:30:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-777,2019-07-23,South Station,Readville,17:45:00,18:15:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-779,2019-07-23,South Station,Readville,18:30:00,19:00:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-781,2019-07-23,South Station,Readville,19:15:00,19:45:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-783,2019-07-23,South Station,Readville,20:15:00,20:45:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-785,2019-07-23,South Station,Readville,21:00:00,21:30:00,30.0
CR-Fairmount,CR-Weekday-Spring-19-787,2019-07-23,South Station,Readville,22:00:00,22:30:00,30.0
